datetime,holdings,cash,total,returns
1998-04-07,0,100000,100000,0
1998-04-08,0,100000,100000,0
1998-04-09,0,100000,100000,0
1998-04-13,0,100000,100000,0
1998-04-14,0,100000,100000,0
1998-04-15,0,100000,100000,0
1998-04-16,0,100000,100000,0
1998-04-17,0,100000,100000,0
1998-04-20,0,100000,100000,0
1998-04-21,0,100000,100000,0
1998-04-22,0,100000,100000,0
1998-04-23,0,100000,100000,0
1998-04-24,0,100000,100000,0
1998-04-27,0,100000,100000,0
1998-04-28,0,100000,100000,0
1998-04-29,0,100000,100000,0
1998-04-30,0,100000,100000,0
1998-05-01,0,100000,100000,0
1998-05-04,0,100000,100000,0
1998-05-05,0,100000,100000,0
1998-05-06,0,100000,100000,0
1998-05-07,0,100000,100000,0
1998-05-08,0,100000,100000,0
1998-05-11,0,100000,100000,0
1998-05-12,0,100000,100000,0
1998-05-13,0,100000,100000,0
1998-05-14,0,100000,100000,0
1998-05-15,0,100000,100000,0
1998-05-18,0,100000,100000,0
1998-05-19,0,100000,100000,0
1998-05-20,0,100000,100000,0
1998-05-21,0,100000,100000,0
1998-05-22,0,100000,100000,0
1998-05-26,0,100000,100000,0
1998-05-27,0,100000,100000,0
1998-05-28,0,100000,100000,0
1998-05-29,3327.6598533721585,96563.54896957893,99891.20882295108,-0.0010879117704891694
1998-06-01,3281.309163771875,96563.54896957893,99844.8581333508,-0.00046401169979259915
1998-06-02,3358.826696379247,96563.54896957893,99922.37566595817,0.0007763798162128133
1998-06-03,3288.9010870684738,96563.54896957893,99852.4500566474,-0.000699799307659843
1998-06-04,3351.234773082649,96563.54896957893,99914.78374266157,0.000624257952396956
1998-06-05,3358.826696379247,96563.54896957893,99922.37566595817,7.59839836730336e-05
1998-06-08,3406.376110710574,96563.54896957893,99969.9250802895,0.0004758635292088087
1998-06-09,3531.4430576492728,96563.54896957893,100094.9920272282,0.0012510457203829262
1998-06-10,3507.468563028436,96563.54896957893,100071.01753260737,-0.00023951742375194485
1998-06-11,3476.301720021348,96563.54896957893,100039.85068960028,-0.00031144724791998257
1998-06-12,3515.060486325034,96563.54896957893,100078.60945590396,0.0003874332682076709
1998-06-15,3437.542953717661,96563.54896957893,100001.0919232966,-0.000774566443606739
1998-06-16,3499.8766397318377,96563.54896957893,100063.42560931077,0.0006233300538556197
1998-06-17,3515.060486325034,96563.54896957893,100078.60945590396,0.00015174222250280422
1998-06-18,3413.568459096824,96563.54896957893,99977.11742867576,-0.0010141230756500752
1998-06-19,3382.4016160897368,96563.54896957893,99945.95058566866,-0.0003117397641448916
1998-06-22,3421.1603823934233,96563.54896957893,99984.70935197236,0.00038779726518756164
1998-06-23,3476.301720021348,96563.54896957893,100039.85068960028,0.0005514977038520996
1998-06-24,3531.4430576492728,96563.54896957893,100094.9920272282,0.000551193721780141
1998-06-25,3569.802249042611,96563.54896957893,100133.35121862154,0.00038322787800315616
1998-06-26,3523.8511343526757,96563.54896957893,100087.4001039316,-0.00045889919922492695
1998-06-29,3586.18482036685,96563.54896957893,100149.73378994578,0.0006227925388155864
1998-06-30,3586.18482036685,96563.54896957893,100149.73378994578,0
1998-07-01,3742.4186103126376,96563.54896957893,100305.96757989157,0.001560002049266318
1998-07-02,3624.943586670536,96563.54896957893,100188.49255624946,-0.001171166845567173
1998-07-06,3796.3612232095206,96563.54896957893,100359.91019278845,0.001710951349455092
1998-07-07,3812.3442196234114,96563.54896957893,100375.89318920234,0.00015925678274508748
1998-07-08,4070.070036797408,96563.54896957893,100633.61900637634,0.002567606712980286
1998-07-09,3961.3856611829465,96563.54896957893,100524.93463076187,-0.0010800006666518147
1998-07-10,4007.3367758728846,96563.54896957893,100570.88574545181,0.000457111609758698
1998-07-13,4242.686398067434,96563.54896957893,100806.23536764637,0.0023401367150153174
1998-07-14,4179.95313714291,96563.54896957893,100743.50210672183,-0.0006223152833328971
1998-07-15,4305.020084081609,96563.54896957893,100868.56905366054,0.0012414393417277125
1998-07-16,4687.413273283957,96563.54896957893,101250.96224286288,0.0037910044009736854
1998-07-17,4609.895740676585,96563.54896957893,101173.44471025551,-0.0007655979843572691
1998-07-20,4531.17948333817,96563.54896957893,101094.7284529171,-0.0007780327887800809
1998-07-21,4453.661950730799,96563.54896957893,101017.21092030974,-0.0007667811546026027
1998-07-22,4374.945693392384,96563.54896957893,100938.49466297131,-0.0007792360986933478
1998-07-23,4367.353770095786,96563.54896957893,100930.90273967471,-7.521335960025688e-05
1998-07-24,4336.186927088697,96563.54896957893,100899.73589666763,-0.0003087938595721651
1998-07-27,4305.020084081609,96563.54896957893,100868.56905366054,-0.0003088892426735823
1998-07-28,4203.927631763747,96563.54896957893,100767.47660134267,-0.0010022195542804813
1998-07-29,4391.3282647166225,96563.54896957893,100954.87723429555,0.0018597333115155656
1998-07-30,4562.346326345259,96563.54896957893,101125.89529592419,0.0016940049486835473
1998-07-31,4328.595003792099,96563.54896957893,100892.14397337103,-0.002311488287635277
1998-08-03,4391.3282647166225,96563.54896957893,100954.87723429555,0.0006217853883754287
1998-08-04,4273.853241074522,96563.54896957893,100837.40221065345,-0.0011636389133480307
1998-08-05,4500.012640331083,96563.54896957893,101063.56160991002,0.0022428126300209072
1998-08-06,4609.895740676585,96563.54896957893,101173.44471025551,0.0010872672464248279
1998-08-07,4562.346326345259,96563.54896957893,101125.89529592419,-0.0004699791972834211
1998-08-10,4742.554610911882,96563.54896957893,101306.10358049082,0.0017820191755957282
1998-08-11,4874.813906236833,96563.54896957893,101438.36287581576,0.0013055412324673998
1998-08-12,5007.472776472131,96563.54896957893,101571.02174605106,0.0013077781075558903
1998-08-13,4929.955243864758,96563.54896957893,101493.50421344368,-0.0007631855156601253
1998-08-14,5062.614114100056,96563.54896957893,101626.16308367898,0.0013070675927822073
1998-08-17,5242.422823756331,96563.54896957893,101805.97179333527,0.0017693151468114454
1998-08-18,5319.940356363703,96563.54896957893,101883.48932594263,0.0007614242194429188
1998-08-19,5124.947800114231,96563.54896957893,101688.49676969316,-0.0019138778769703935
1998-08-20,5078.597110513947,96563.54896957893,101642.14608009288,-0.00045581054959698
1998-08-21,5375.08169399163,96563.54896957893,101938.63066357056,0.002916945331359333
1998-08-24,5148.922294735068,96563.54896957893,101712.471264314,-0.0022185838458332885
1998-08-25,5101.372880403743,96563.54896957893,101664.92184998267,-0.0004674885364623904
1998-08-26,5047.4302675068575,96563.54896957893,101610.97923708579,-0.0005305921837669425
1998-08-27,4687.413273283957,96563.54896957893,101250.96224286288,-0.003543091474228377
1998-08-28,4273.853241074522,96563.54896957893,100837.40221065345,-0.004084504710359704
1998-08-31,3898.652400258424,96563.54896957893,100462.20136983735,-0.0037208499286037755
1998-09-01,4266.261317777924,96563.54896957893,100829.81028735686,0.0036591764116955527
1998-09-02,4444.871302703159,96563.54896957893,101008.42027228209,0.0017714005849680525
1998-09-03,4328.595003792099,96563.54896957893,100892.14397337103,-0.001151154513629904
1998-09-04,4391.3282647166225,96563.54896957893,100954.87723429555,0.0006217853883754287
1998-09-08,4781.31337721557,96563.54896957893,101344.8623467945,0.0038629645558765358
1998-09-09,4672.629001601108,96563.54896957893,101236.17797118003,-0.001072421167661708
1998-09-10,4766.129530622373,96563.54896957893,101329.6785002013,0.000923588097605732
1998-09-11,4703.795844608197,96563.54896957893,101267.34481418712,-0.000615157246492859
1998-09-14,4648.654506980271,96563.54896957893,101212.2034765592,-0.0005445125250306271
1998-09-15,4773.721453918972,96563.54896957893,101337.2704234979,0.0012356903875496705
1998-09-16,4663.838353573467,96563.54896957893,101227.38732315239,-0.0010843305714304252
1998-09-17,4500.012640331083,96563.54896957893,101063.56160991002,-0.0016183931796973638
1998-09-18,4593.912744262694,96563.54896957893,101157.46171384162,0.0009291192833085216
1998-09-21,4617.487663973184,96563.54896957893,101181.03663355211,0.00023305171275622705
1998-09-22,4625.079587269783,96563.54896957893,101188.62855684871,7.503306498124473e-05
1998-09-23,4788.905300512167,96563.54896957893,101352.4542700911,0.0016190130806086334
1998-09-24,4812.480220222657,96563.54896957893,101376.02918980159,0.00023260334325669874
1998-09-25,4843.647063229745,96563.54896957893,101407.19603280867,0.00030743799353927237
1998-09-28,4882.405829533432,96563.54896957893,101445.95479911235,0.00038220922991638595
1998-09-29,4937.547167161356,96563.54896957893,101501.09613674029,0.0005435538335376577
1998-09-30,4766.129530622373,96563.54896957893,101329.6785002013,-0.0016888254714811923
1998-10-01,4461.253874027398,96563.54896957893,101024.80284360633,-0.0030087498658585288
1998-10-02,4382.537616688983,96563.54896957893,100946.0865862679,-0.0007791775397996137
1998-10-05,4023.719347197124,96563.54896957893,100587.26831677606,-0.0035545535406685813
1998-10-06,4070.070036797408,96563.54896957893,100633.61900637634,0.00046080075914090024
1998-10-07,3992.5525041900355,96563.54896957893,100556.10147376897,-0.0007702945931264971
1998-10-08,3851.102985927098,96563.54896957893,100414.65195550602,-0.0014066726552623976
1998-10-09,4391.3282647166225,96563.54896957893,100954.87723429555,0.005379944741818132
1998-10-12,4679.82134998736,96563.54896957893,101243.37031956628,0.002857643862031578
1998-10-13,4843.647063229745,96563.54896957893,101407.19603280867,0.001618137688673249
1998-10-14,4672.629001601108,96563.54896957893,101236.17797118003,-0.0016864489732396626
1998-10-15,4578.728897669497,96563.54896957893,101142.27786724843,-0.0009275350552876427
1998-10-16,4586.320820966097,96563.54896957893,101149.86979054502,7.50618184273133e-05
1998-10-19,4687.413273283957,96563.54896957893,101250.96224286288,0.000999432352480456
1998-10-20,4507.604563627682,96563.54896957893,101071.15353320661,-0.0017758716131998087
1998-10-21,4641.062583683673,96563.54896957893,101204.6115532626,0.0013204363004735153
1998-10-22,4593.912744262694,96563.54896957893,101157.46171384162,-0.00046588627432420093
1998-10-23,4437.678954316907,96563.54896957893,101001.22792389584,-0.0015444613506390148
1998-10-26,4679.82134998736,96563.54896957893,101243.37031956628,0.002397420315056964
1998-10-27,4406.1125363994715,96563.54896957893,100969.6615059784,-0.002703473943271084
1998-10-28,4601.105092648946,96563.54896957893,101164.65406222787,0.0019311994646820096
1998-10-29,4555.1539779590075,96563.54896957893,101118.70294753794,-0.00045422104306969135
1998-10-30,4641.062583683673,96563.54896957893,101204.6115532626,0.0008495817610441048
1998-11-02,4703.795844608197,96563.54896957893,101267.34481418712,0.0006198656361771082
1998-11-03,4726.172039587644,96563.54896957893,101289.72100916658,0.00022096160436047008
1998-11-04,4836.055139933146,96563.54896957893,101399.60410951207,0.0010848395992280047
1998-11-05,4773.721453918972,96563.54896957893,101337.2704234979,-0.00061473303137205
1998-11-06,4757.338882594731,96563.54896957893,101320.88785217366,-0.00016166383064963874
1998-11-09,4578.728897669497,96563.54896957893,101142.27786724843,-0.0017628150395387898
1998-11-10,4391.3282647166225,96563.54896957893,100954.87723429555,-0.0018528417285483822
1998-11-11,4195.136983736107,96563.54896957893,100758.68595331504,-0.0019433561444008873
1998-11-12,4249.878746453685,96563.54896957893,100813.42771603262,0.0005432957188717946
1998-11-13,4461.253874027398,96563.54896957893,101024.80284360633,0.002096696167985801
1998-11-16,4500.012640331083,96563.54896957893,101063.56160991002,0.00038365594599265584
1998-11-17,4351.370773681893,96563.54896957893,100914.91974326082,-0.0014707760569820927
1998-11-18,4430.087031020308,96563.54896957893,100993.63600059923,0.0007800259618564453
1998-11-19,4468.845797323996,96563.54896957893,101032.39476690293,0.0003837743430037399
1998-11-20,4413.70445969607,96563.54896957893,100977.253429275,-0.0005457787846674389
1998-11-23,4531.17948333817,96563.54896957893,101094.7284529171,0.0011633810551638923
1998-11-24,4492.420717034485,96563.54896957893,101055.96968661342,-0.00038339057730130133
